Location,Current Temperature,Prediction
"Jeddah, Saudi Arabia",35.94,Temperature expected to further increase

Year,Temperature,Anomaly
Current,35.94,High
2024,36.44,+0.5°C
2025,36.739999999999995,+0.8°C
